id	document	label
2028167	귀여운 이야기	1
9789489	어릴때가 아련히 생각난다	1
9071670	정말 감동적이고 눈물도 얼리는 영화다 중간에 마리의 개들이죽어서 슬프다ㅠㅠ 하지만 마리나 살았다는 건 기적이다정말 	1
9597147	앞으로 더욱 흥미진진 해 질 것 같아요정말 재밌는 드라마기대 만발	1
5051963	최악	0
9892248	브금캐리ㅋㅋㅋ개오짐	1
9235470	하도 어이없어서 로그인해서 평 남겨봅니다 한마디로 쓰레기통으로 버리고픈 영화 도대체 점 준사람들은 영화 내용과는 상관없는건지 의문스럽네요 혹은 알바 여튼 내 의견은 리뷰보고 영화 보려했던분은 혹은 다운받았던 분들은 그냥 휴지통으로	0
9495842	점도 부족한 영화다임수정 다시봤음	1
10219402	하그때 돈주고 안보길 잘했지	0
9457768	쓰레기일것같은느낌이 팍팍나는데	0
3925928	재미씀	1
9660804	아주 재밌는데 왜 평점이 낮지	1
3864267	재미없다 무슨 스토리인지 이해도 안감	0
9135893	편 너무 재밌죠케빈과 해리 마브의 명품연기 최고	1
9629066	년대를 추억하는 세대들에게 느낄수있는 노스텔지아 	1
1178854	왜 이 영화가 뜨질 못했지	1
1888421	연기력 연출력의 안타까움	0
1178455	이런 트래쉬가 평점이 점장담한데 다 존다	0
6009438	분 초짜리 예고편을 분으로 뻥튀겨놓다니 몹쓸놈들	0
10275471	도대체 무엇을 말하고 싶은것일까	0
8845419	러닝타임 시간 분에 본론으로 들어가기까지 시간을 잡아먹는건 뭐하자는거임	0
4211865	다 완벽하게 이해할수는 없지만 정말 굉장한 작품이다	1
7353622	인생은 혼자살수없는것이다	1
5219787	빨간구두에 반한 분이라면 보지마셈 이태리판 홍상수감독	0
25210	뭐하나 제대로 된게 없는 비디오급도 안되는 쓰레기	0
3295035	ㅇㅇ 감독은 쌍용차한테 억청구해야할듯 ㅠㅠ	0
46145	뽀대를 원한다며 옹박을 보자	0
339597	최고의 한국애니	1
7141741	신세계ㅋㅋ 이런영화 극장에서 첨이야 약간 직접 동굴탐험하는듯한 기분도 들고 비주얼은 정말좋았움 거장의 영화라 십점드림ㅎㅎ	1
7241364	주상욱 이거 왜 찍음 아 안타까움	0
